File is used to store test data from the program
The data is Lines Drawn Per CPU-CLock for: 
OpenGL	DDA	Bresenham's	Naive
1.#INF	1.#INF	1.#INF	1.#INF
1.#INF	2	1.#INF	1.#INF
1.#INF	3	1.#INF	1.#INF
1.#INF	4	1.#INF	1.#INF
1.#INF	5	1.#INF	1.#INF
1.#INF	6	1.#INF	1.#INF
1.#INF	7	1.#INF	1.#INF
1.#INF	8	1.#INF	1.#INF
1.#INF	9	1.#INF	1.#INF
1.#INF	10	1.#INF	1.#INF
1.#INF	11	1.#INF	1.#INF
1.#INF	12	1.#INF	1.#INF
1.#INF	13	1.#INF	1.#INF
1.#INF	14	1.#INF	1.#INF
1.#INF	15	1.#INF	1.#INF
1.#INF	16	1.#INF	1.#INF
1.#INF	17	1.#INF	1.#INF
1.#INF	18	1.#INF	1.#INF
1.#INF	19	1.#INF	1.#INF
1.#INF	20	1.#INF	1.#INF
1.#INF	21	1.#INF	1.#INF
1.#INF	22	1.#INF	1.#INF
1.#INF	23	1.#INF	1.#INF
1.#INF	24	1.#INF	1.#INF
1.#INF	25	1.#INF	1.#INF
1.#INF	26	1.#INF	1.#INF
1.#INF	27	1.#INF	1.#INF
1.#INF	28	1.#INF	1.#INF
1.#INF	29	1.#INF	1.#INF
1.#INF	30	1.#INF	1.#INF
1.#INF	31	1.#INF	1.#INF
1.#INF	32	1.#INF	1.#INF
1.#INF	33	1.#INF	1.#INF
1.#INF	34	1.#INF	34
1.#INF	35	1.#INF	35
1.#INF	36	1.#INF	36
1.#INF	37	1.#INF	37
1.#INF	38	1.#INF	38
1.#INF	39	1.#INF	39
1.#INF	40	1.#INF	40
1.#INF	41	1.#INF	41
1.#INF	42	1.#INF	42
1.#INF	43	1.#INF	43
1.#INF	44	1.#INF	44
1.#INF	45	1.#INF	45
1.#INF	46	1.#INF	46
1.#INF	47	1.#INF	47
1.#INF	48	1.#INF	48
1.#INF	49	1.#INF	49
1.#INF	25	1.#INF	50
1.#INF	25.5	1.#INF	51
1.#INF	26	1.#INF	52
1.#INF	26.5	1.#INF	53
1.#INF	27	1.#INF	54
1.#INF	27.5	1.#INF	55
1.#INF	28	1.#INF	56
1.#INF	28.5	1.#INF	57
1.#INF	29	1.#INF	58
1.#INF	19.6667	1.#INF	59
1.#INF	20	1.#INF	60
1.#INF	20.3333	1.#INF	61
1.#INF	20.6667	1.#INF	31
1.#INF	21	1.#INF	31.5
1.#INF	21.3333	1.#INF	32
1.#INF	21.6667	1.#INF	32.5
1.#INF	22	1.#INF	33
1.#INF	22.3333	1.#INF	33.5
1.#INF	22.6667	1.#INF	34
1.#INF	23	1.#INF	34.5
1.#INF	23.3333	1.#INF	35
1.#INF	17.75	1.#INF	35.5
1.#INF	18	1.#INF	36
1.#INF	18.25	1.#INF	36.5
1.#INF	18.5	1.#INF	37
1.#INF	18.75	1.#INF	37.5
1.#INF	19	1.#INF	38
1.#INF	19.25	1.#INF	38.5
1.#INF	19.5	1.#INF	39
1.#INF	19.75	1.#INF	39.5
1.#INF	20	1.#INF	40
1.#INF	20.25	1.#INF	40.5
1.#INF	20.5	1.#INF	41
1.#INF	20.75	1.#INF	41.5
1.#INF	21	1.#INF	42
1.#INF	21.25	1.#INF	42.5
1.#INF	21.5	1.#INF	43
1.#INF	21.75	1.#INF	43.5
1.#INF	22	1.#INF	44
1.#INF	17.8	1.#INF	44.5
1.#INF	18	1.#INF	45
1.#INF	18.2	1.#INF	45.5
1.#INF	18.4	1.#INF	46
1.#INF	18.6	1.#INF	31
1.#INF	18.8	1.#INF	31.3333
1.#INF	19	1.#INF	31.6667
1.#INF	19.2	1.#INF	32
1.#INF	19.4	1.#INF	32.3333
1.#INF	19.6	1.#INF	32.6667
1.#INF	19.8	1.#INF	33
1.#INF	20	1.#INF	33.3333
1.#INF	20.2	1.#INF	33.6667
1.#INF	20.4	1.#INF	34
1.#INF	20.6	1.#INF	34.3333
1.#INF	20.8	1.#INF	34.6667
1.#INF	21	1.#INF	35
1.#INF	21.2	1.#INF	35.3333
1.#INF	21.4	1.#INF	35.6667
1.#INF	21.6	1.#INF	36
1.#INF	21.8	1.#INF	36.3333
1.#INF	22	1.#INF	36.6667
1.#INF	22.2	1.#INF	37
1.#INF	22.4	1.#INF	37.3333
1.#INF	22.6	1.#INF	37.6667
1.#INF	22.8	1.#INF	38
1.#INF	23	1.#INF	38.3333
1.#INF	23.2	1.#INF	38.6667
1.#INF	23.4	1.#INF	39
1.#INF	23.6	1.#INF	39.3333
1.#INF	23.8	1.#INF	39.6667
1.#INF	24	1.#INF	40
1.#INF	24.2	1.#INF	40.3333
1.#INF	24.4	1.#INF	40.6667
1.#INF	24.6	1.#INF	41
1.#INF	24.8	1.#INF	41.3333
1.#INF	25	1.#INF	41.6667
1.#INF	25.2	1.#INF	31.5
1.#INF	25.4	1.#INF	31.75
1.#INF	25.6	1.#INF	32
1.#INF	25.8	1.#INF	32.25
1.#INF	26	1.#INF	32.5
1.#INF	26.2	1.#INF	32.75
1.#INF	26.4	1.#INF	33
1.#INF	26.6	1.#INF	33.25
1.#INF	26.8	1.#INF	33.5
1.#INF	27	1.#INF	33.75
1.#INF	27.2	1.#INF	34
1.#INF	27.4	1.#INF	34.25
1.#INF	27.6	1.#INF	34.5
1.#INF	27.8	1.#INF	34.75
1.#INF	28	1.#INF	35
1.#INF	28.2	1.#INF	35.25
1.#INF	28.4	1.#INF	35.5
1.#INF	28.6	1.#INF	35.75
1.#INF	24	1.#INF	36
1.#INF	24.1667	1.#INF	36.25
1.#INF	24.3333	1.#INF	36.5
1.#INF	24.5	1.#INF	36.75
1.#INF	24.6667	1.#INF	37
1.#INF	24.8333	1.#INF	37.25
1.#INF	25	1.#INF	37.5
1.#INF	25.1667	1.#INF	37.75
1.#INF	25.3333	1.#INF	38
1.#INF	25.5	1.#INF	38.25
1.#INF	22	1.#INF	38.5
1.#INF	22.1429	1.#INF	38.75
1.#INF	22.2857	1.#INF	39
1.#INF	22.4286	1.#INF	39.25
1.#INF	22.5714	1.#INF	39.5
1.#INF	22.7143	1.#INF	39.75
1.#INF	22.8571	1.#INF	40
1.#INF	23	1.#INF	40.25
1.#INF	23.1429	1.#INF	40.5
1.#INF	23.2857	1.#INF	40.75
1.#INF	23.4286	1.#INF	41
1.#INF	23.5714	1.#INF	41.25
1.#INF	23.7143	1.#INF	41.5
1.#INF	23.8571	1.#INF	41.75
1.#INF	24	1.#INF	42
1.#INF	24.1429	1.#INF	42.25
1.#INF	21.25	1.#INF	42.5
1.#INF	21.375	1.#INF	42.75
1.#INF	21.5	1.#INF	43
1.#INF	21.625	1.#INF	43.25
1.#INF	21.75	1.#INF	43.5
1.#INF	21.875	1.#INF	43.75
1.#INF	22	1.#INF	44
1.#INF	22.125	1.#INF	44.25
1.#INF	22.25	1.#INF	44.5
1.#INF	22.375	1.#INF	35.8
1.#INF	22.5	1.#INF	36
1.#INF	22.625	1.#INF	36.2
1.#INF	22.75	1.#INF	36.4
1.#INF	22.875	1.#INF	36.6
1.#INF	23	1.#INF	36.8
1.#INF	23.125	1.#INF	37
1.#INF	23.25	1.#INF	37.2
1.#INF	23.375	1.#INF	37.4
1.#INF	23.5	1.#INF	37.6
1.#INF	23.625	1.#INF	37.8
1.#INF	23.75	1.#INF	38
1.#INF	23.875	1.#INF	38.2
1.#INF	24	1.#INF	38.4
1.#INF	24.125	1.#INF	38.6
1.#INF	24.25	1.#INF	38.8
1.#INF	24.375	1.#INF	39
1.#INF	24.5	1.#INF	39.2
1.#INF	24.625	1.#INF	39.4
1.#INF	24.75	1.#INF	39.6
1.#INF	24.875	1.#INF	39.8
1.#INF	25	1.#INF	40
1.#INF	25.125	1.#INF	40.2
1.#INF	25.25	1.#INF	40.4
1.#INF	25.375	1.#INF	40.6
1.#INF	25.5	1.#INF	40.8
1.#INF	25.625	1.#INF	41
1.#INF	25.75	1.#INF	41.2
1.#INF	25.875	1.#INF	41.4
1.#INF	26	1.#INF	41.6
1.#INF	26.125	1.#INF	41.8
1.#INF	26.25	1.#INF	42
1.#INF	26.375	1.#INF	42.2
1.#INF	23.5556	1.#INF	42.4
1.#INF	23.6667	1.#INF	42.6
1.#INF	23.7778	1.#INF	42.8
1.#INF	23.8889	1.#INF	43
1.#INF	24	1.#INF	43.2
1.#INF	24.1111	1.#INF	43.4
1.#INF	24.2222	1.#INF	43.6
1.#INF	24.3333	1.#INF	43.8
1.#INF	24.4444	1.#INF	44
1.#INF	24.5556	1.#INF	44.2
1.#INF	24.6667	1.#INF	44.4
1.#INF	24.7778	1.#INF	44.6
1.#INF	24.8889	1.#INF	44.8
1.#INF	25	1.#INF	45
1.#INF	25.1111	1.#INF	45.2
1.#INF	25.2222	1.#INF	45.4
1.#INF	25.3333	1.#INF	45.6
1.#INF	25.4444	1.#INF	45.8
1.#INF	25.5556	1.#INF	46
1.#INF	25.6667	1.#INF	46.2
1.#INF	25.7778	1.#INF	46.4
1.#INF	25.8889	1.#INF	46.6
1.#INF	26	1.#INF	46.8
1.#INF	26.1111	1.#INF	47
1.#INF	26.2222	1.#INF	47.2
1.#INF	26.3333	1.#INF	47.4
1.#INF	26.4444	1.#INF	47.6
1.#INF	26.5556	1.#INF	47.8
1.#INF	26.6667	1.#INF	48
1.#INF	26.7778	1.#INF	48.2
1.#INF	26.8889	1.#INF	48.4
1.#INF	27	1.#INF	48.6
1.#INF	27.1111	1.#INF	48.8
1.#INF	27.2222	1.#INF	49
1.#INF	27.3333	1.#INF	49.2
1.#INF	27.4444	1.#INF	49.4
1.#INF	27.5556	1.#INF	49.6
1.#INF	27.6667	1.#INF	49.8
1.#INF	27.7778	1.#INF	50
1.#INF	27.8889	1.#INF	50.2
1.#INF	28	1.#INF	50.4
1.#INF	28.1111	1.#INF	50.6
1.#INF	28.2222	1.#INF	50.8
1.#INF	28.3333	1.#INF	51
1.#INF	28.4444	1.#INF	51.2
1.#INF	28.5556	1.#INF	51.4
1.#INF	28.6667	1.#INF	51.6
1.#INF	28.7778	1.#INF	51.8
1.#INF	28.8889	1.#INF	52
1.#INF	29	1.#INF	52.2
1.#INF	29.1111	1.#INF	52.4
1.#INF	29.2222	1.#INF	52.6
1.#INF	29.3333	1.#INF	52.8
1.#INF	29.4444	1.#INF	53
1.#INF	29.5556	1.#INF	53.2
1.#INF	29.6667	1.#INF	53.4
1.#INF	29.7778	1.#INF	53.6
1.#INF	29.8889	1.#INF	53.8
1.#INF	30	1.#INF	54
1.#INF	30.1111	1.#INF	54.2
1.#INF	30.2222	1.#INF	54.4
