File is used to store test data from the program
The data is Lines Drawn Per CPU-CLock for: 
OpenGL	DDA	Bresenham's
1.#INF	1.#INF	1.#INF
1.#INF	1.#INF	1.#INF
1.#INF	1.#INF	1.#INF
1.#INF	1.#INF	1.#INF
1.#INF	1.#INF	1.#INF
1.#INF	1.#INF	1.#INF
1.#INF	1.#INF	1.#INF
1.#INF	1.#INF	1.#INF
1.#INF	1.#INF	1.#INF
1.#INF	1.#INF	1.#INF
1.#INF	1.#INF	1.#INF
1.#INF	1.#INF	1.#INF
1.#INF	1.#INF	1.#INF
1.#INF	1.#INF	1.#INF
1.#INF	1.#INF	1.#INF
1.#INF	1.#INF	1.#INF
1.#INF	1.#INF	1.#INF
1.#INF	1.#INF	1.#INF
1.#INF	1.#INF	1.#INF
1.#INF	1.#INF	1.#INF
1.#INF	1.#INF	1.#INF
1.#INF	1.#INF	1.#INF
1.#INF	1.#INF	1.#INF
1.#INF	1.#INF	1.#INF
1.#INF	1.#INF	1.#INF
1.#INF	1.#INF	1.#INF
1.#INF	1.#INF	1.#INF
1.#INF	1.#INF	1.#INF
1.#INF	1.#INF	1.#INF
1.#INF	1.#INF	1.#INF
1.#INF	1.#INF	1.#INF
1.#INF	1.#INF	1.#INF
1.#INF	1.#INF	1.#INF
1.#INF	1.#INF	1.#INF
1.#INF	1.#INF	1.#INF
1.#INF	1.#INF	1.#INF
1.#INF	1.#INF	1.#INF
1.#INF	1.#INF	1.#INF
1.#INF	1.#INF	1.#INF
1.#INF	1.#INF	1.#INF
1.#INF	1.#INF	1.#INF
1.#INF	1.#INF	1.#INF
1.#INF	1.#INF	1.#INF
1.#INF	1.#INF	1.#INF
1.#INF	1.#INF	1.#INF
1.#INF	1.#INF	1.#INF
1.#INF	1.#INF	1.#INF
1.#INF	1.#INF	1.#INF
1.#INF	1.#INF	1.#INF
1.#INF	1.#INF	1.#INF
1.#INF	1.#INF	1.#INF
1.#INF	1.#INF	1.#INF
1.#INF	1.#INF	1.#INF
1.#INF	1.#INF	1.#INF
1.#INF	1.#INF	1.#INF
1.#INF	1.#INF	1.#INF
1.#INF	1.#INF	1.#INF
1.#INF	1.#INF	1.#INF
