File is used to store test data from the program
The data is Lines Drawn Per CPU-CLock for: 
OpenGL	DDA	Bresenham's
1.#INF	1.#INF	1.#INF
1.#INF	1.#INF	1.#INF
1.#INF	1.#INF	1.#INF
1.#INF	1.#INF	1.#INF
1.#INF	1.#INF	1.#INF
1.#INF	1.#INF	1.#INF
7	1.#INF	1.#INF
8	1.#INF	1.#INF
9	1.#INF	1.#INF
10	1.#INF	1.#INF
11	1.#INF	1.#INF
12	1.#INF	1.#INF
13	1.#INF	1.#INF
14	1.#INF	1.#INF
15	1.#INF	1.#INF
16	16	1.#INF
17	8.5	1.#INF
18	9	1.#INF
19	9.5	1.#INF
20	10	1.#INF
21	10.5	1.#INF
22	11	1.#INF
23	11.5	1.#INF
24	12	1.#INF
25	12.5	1.#INF
26	13	1.#INF
27	13.5	1.#INF
28	14	1.#INF
29	14.5	1.#INF
30	15	1.#INF
31	15.5	1.#INF
32	16	1.#INF
33	16.5	1.#INF
34	17	1.#INF
35	11.6667	1.#INF
36	9	1.#INF
37	9.25	1.#INF
38	9.5	1.#INF
39	9.75	1.#INF
40	10	1.#INF
41	10.25	1.#INF
42	10.5	1.#INF
43	10.75	1.#INF
44	11	1.#INF
45	11.25	1.#INF
46	11.5	1.#INF
47	11.75	1.#INF
48	12	1.#INF
49	12.25	1.#INF
50	12.5	1.#INF
51	12.75	1.#INF
52	13	1.#INF
53	13.25	1.#INF
54	13.5	1.#INF
55	13.75	1.#INF
56	14	1.#INF
57	14.25	1.#INF
58	14.5	1.#INF
59	14.75	1.#INF
60	15	1.#INF
30.5	15.25	1.#INF
31	15.5	1.#INF
31.5	15.75	1.#INF
32	16	1.#INF
32.5	16.25	1.#INF
33	16.5	1.#INF
33.5	16.75	1.#INF
34	13.6	1.#INF
34.5	13.8	1.#INF
35	14	1.#INF
35.5	14.2	1.#INF
36	14.4	1.#INF
36.5	14.6	1.#INF
37	14.8	1.#INF
37.5	15	1.#INF
38	15.2	1.#INF
38.5	15.4	1.#INF
39	15.6	1.#INF
39.5	15.8	1.#INF
40	16	1.#INF
40.5	16.2	1.#INF
41	16.4	1.#INF
41.5	16.6	1.#INF
42	16.8	1.#INF
